input_state,alice_bits,branch_probability,fidelity
16,10,0.24999999999999994,1.0000000000000004
16,11,0.25,1.0
17,00,0.24999999999999994,1.0
17,01,0.24999999999999994,1.0
17,10,0.24999999999999994,1.0
17,11,0.24999999999999994,1.0
18,00,0.24999999999999986,1.0000000000000004
18,01,0.24999999999999986,1.0000000000000004
18,10,0.24999999999999986,1.0000000000000004
18,11,0.24999999999999986,1.0000000000000004
19,00,0.24999999999999983,0.9999999999999996
19,01,0.2499999999999998,0.9999999999999996
19,10,0.24999999999999983,0.9999999999999996
19,11,0.2499999999999998,0.9999999999999996
20,00,0.2499999999999999,1.0
20,01,0.2499999999999999,1.0
20,10,0.2499999999999999,1.0
20,11,0.2499999999999999,1.0
21,00,0.24999999999999994,1.0000000000000004
21,01,0.24999999999999994,1.0000000000000004
21,10,0.24999999999999994,1.0000000000000004
21,11,0.24999999999999994,1.0000000000000004
22,00,0.2499999999999999,1.0000000000000004
22,01,0.24999999999999994,1.0000000000000004
22,10,0.2499999999999999,1.0000000000000004
22,11,0.24999999999999994,1.0000000000000004
23,00,0.24999999999999992,1.0
23,01,0.2499999999999999,1.0
23,10,0.24999999999999992,1.0
23,11,0.2499999999999999,1.0
24,00,0.24999999999999986,1.0
24,01,0.24999999999999986,1.0
24,10,0.24999999999999986,1.0
24,11,0.24999999999999986,1.0
25,00,0.25,1.0
25,01,0.24999999999999997,1.0000000000000009
25,10,0.25,1.0
25,11,0.24999999999999997,1.0000000000000009
26,00,0.24999999999999997,1.0000000000000004
26,01,0.24999999999999997,1.0000000000000004
26,10,0.24999999999999997,1.0000000000000004
26,11,0.24999999999999997,1.0000000000000004
27,00,0.24999999999999983,1.0
27,01,0.24999999999999983,1.0
27,10,0.24999999999999983,1.0
27,11,0.24999999999999983,1.0
28,00,0.24999999999999997,1.0000000000000004
28,01,0.24999999999999994,1.0000000000000004
28,10,0.24999999999999997,1.0000000000000004
28,11,0.24999999999999994,1.0000000000000004
29,00,0.24999999999999997,1.0000000000000004
29,01,0.25,1.0
29,10,0.24999999999999997,1.0000000000000004
29,11,0.25,1.0
30,00,0.24999999999999983,1.0
30,01,0.24999999999999983,1.0
30,10,0.24999999999999983,1.0
30,11,0.24999999999999983,1.0
31,00,0.24999999999999992,1.0
31,01,0.24999999999999994,1.0
31,10,0.24999999999999992,1.0
31,11,0.24999999999999994,1.0
32,00,0.24999999999999983,1.0
32,01,0.24999999999999983,1.0
32,10,0.24999999999999983,1.0
32,11,0.24999999999999983,1.0
33,00,0.24999999999999994,1.0000000000000004
33,01,0.24999999999999994,1.0000000000000004
33,10,0.24999999999999994,1.0000000000000004
33,11,0.24999999999999994,1.0000000000000004
34,00,0.2499999999999999,0.9999999999999996
34,01,0.24999999999999983,1.0
34,10,0.2499999999999999,0.9999999999999996
